CodEstable,NomEstable,CodSede,NomSede,Tipo,Zona,Direccion,Telefono,EstadoSede,Niveles,Modelos,Grados,X,Y
354001012289,INSTITUCION EDUCATIVA FRANCISCO DE PAULA SANTANDER,354001012289,INSTITUCION EDUCATIVA FRANCISCO DE PAULA SANTANDER,PRINCIPAL,RURAL,AV PANAMERICANA., ,NUEVO-ACTIVO,"MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,FLEXIBLE ESCUELA INTEGRAL","21,22,23,24,25,26",844050.295,1370103.726
254001009151,INSTITUTO TÉCNICO RAFAEL GARCIA HERREROS,254001006128,CENT EDUC LA PAZ,SEDE,RURAL,VDA LA NVA VICTORIA,NO TIENE,NUEVO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",ESCUELA NUEVA,"0,1,2,3,4,5",855671.3603,1389282.647
254001009151,INSTITUTO TÉCNICO RAFAEL GARCIA HERREROS,254001008511,CENT EDUC LA ACEITUNA,SEDE,RURAL,CORREG PALMARITO VDA ACEITUNA,NO TIENE,NUEVO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",ESCUELA NUEVA,"0,1,2,3,4,5",854199.9554,1409091.126
254001003196,COLEGIO CAMILO TORRES,254001007264,CENT EDUC SAN AGUSTIN DE LOS POZOS,SEDE,RURAL,VDA SAN AGUSTIN D ELOS POZOS,NO TIENE,NUEVO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA","ESCUELA NUEVA,EDUCACIÓN TRADICIONAL","0,1,2,3,4,5",847928.3137,1406856.041
254001003196,COLEGIO CAMILO TORRES,254001004796,CENT EDUC LA GRAN COLOMBIA,SEDE,RURAL,VDA RESTAURACION CORREG AGUA CLARA,NO TIENE,NUEVO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA","ESCUELA NUEVA,EDUCACIÓN TRADICIONAL","0,1,2,3,4,5",845360.087,1404935.18
254001003196,COLEGIO CAMILO TORRES,254001008627,CENT EDUC JAIME PARDO LEAL,SEDE,RURAL,VDA NVA MADRID,NO TIENE,NUEVO-ACTIVO,BÁSICA PRIMARIA,EDUCACIÓN TRADICIONAL,"3,5",837993.6828,1415258.96
254001003196,COLEGIO CAMILO TORRES,254001008520,CENT EDUC BELLAVISTA,SEDE,RURAL,VDA BELLAVISTA,NO TIENE,NUEVO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","ESCUELA NUEVA,A CRECER,EDUCACIÓN TRADICIONAL,SER HUMANO","0,1,2,3,4,5,21,22,23,24,25,26",847778.9938,1394635.614
254001003196,COLEGIO CAMILO TORRES,254001003196,COL CAMILO TORRES,PRINCIPAL,RURAL,VDA NUCLEO DE VIVIENDA,NO TIENE,ANTIGUO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","CAMINAR EN SECUNDARIA,TRANSFORMEMOS,PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA,A CRECER,EDUCACIÓN TRADICIONAL,SER HUMANO","0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26",843894.5787,1398051.629
154001004333,I.E. CARLOS RAMIREZ PARIS,154001007251,ESC DON BOSCO NO 88,SEDE,URBANA,CL 23 67 74,3123515258,NUEVO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,A CRECER,EDUCACIÓN TRADICIONAL","0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26",838145.4215,1368040.432
154001004333,I.E. CARLOS RAMIREZ PARIS,154001004333,I.E. CARLOS RAMIREZ PARIS - SEDE PRINCIPAL,PRINCIPAL,URBANA,CL 18 51 33,3123515258,ANTIGUO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","FLEXIBLE ESCUELA INTEGRAL,A CRECER,EDUCACIÓN TRADICIONAL,SER HUMANO","0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26",839040.3276,1366735.631
154001004333,I.E. CARLOS RAMIREZ PARIS,154001005259,ESC  RAFAEL POMBO NO 74,SEDE,URBANA,MZ 38 F LT 4,3123515258,NUEVO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,EDUCACIÓN TRADICIONAL","0,1,2,3,4,5,6,7,8,9,21,22,23,24,25",839332.8868,1366525.398
154001004333,I.E. CARLOS RAMIREZ PARIS,154001007961,INST TEC NSTRA SRA DE MONGUI,SEDE,URBANA,CL 9 47 15,3123515258,NUEVO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","A CRECER,EDUCACIÓN TRADICIONAL,CIRCULOS DE APRENDIZAJE","0,1,2,3,4,5,6,7,8,9,10,11,21",838731.6451,1366112.552
254001003757,CENTRO EDUCATIVO AGUALASAL,254001001304,ESC RUR EL SUSPIRO,SEDE,RURAL,VDA EL SUSPIRO CORREG PALMARITO,NO TIENE,NUEVO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA","ESCUELA NUEVA,EDUCACIÓN TRADICIONAL","0,1,2,3,4,5",840189.6915,1403896.156
254001003757,CENTRO EDUCATIVO AGUALASAL,254001003757,CENT EDUC AGUALASAL,PRINCIPAL,RURAL,VDA AGUALASAL,NO TIENE,ANTIGUO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","POST PRIMARIA,FLEXIBLE ESCUELA INTEGRAL,ESCUELA NUEVA,A CRECER,EDUCACIÓN TRADICIONAL","0,1,2,3,4,5,6,7,8,9,21,22,23,24,25,26",837648.8205,1400205.465
254001003757,CENTRO EDUCATIVO AGUALASAL,254001004818,CENT EDUC  LA HORTENCIA,SEDE,RURAL,VDA EL TABLAZO- CORREG PALMARITO,NO TIENE,NUEVO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA","ESCUELA NUEVA,EDUCACIÓN TRADICIONAL","0,1,2,3,4,5",836683.585,1403459.821
154001003779,COLEGIO INTEGRADO JUAN ATALAYA,154001008291,ESC URB LA PRIMAVERA MARIA AUXILIADORA,SEDE,URBANA,MZ J7 LOTE 11,5813860,NUEVO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","A CRECER,EDUCACIÓN TRADICIONAL,SER HUMANO","0,1,2,3,4,5,6,7,8,9,10,21,22,23,24,25,26",839183.8478,1367677.777
